tag,c_physics,region,n_points,MAE_all,MSE_all,RMSE_all,R2_all,MaxAbsError_all,RelL2_all,MAE_U_x,MSE_U_x,RMSE_U_x,R2_U_x,MaxAbsError_U_x,RelL2_U_x,MAE_U_y,MSE_U_y,RMSE_U_y,R2_U_y,MaxAbsError_U_y,RelL2_U_y,MAE_p,MSE_p,RMSE_p,R2_p,MaxAbsError_p,RelL2_p
cphys_0,0.0,inside_box,915552,0.04457798516202674,0.0050726322423886435,0.0712224139045332,0.4565115003720829,0.3313644379377365,0.7247443950782908,0.06321652978783918,0.008190655883612936,0.09050224242311865,0.22526823114458616,0.3226131498813629,0.7980883870362276,0.05494623286329821,0.0063787862482188,0.0798673039999398,0.5693270253708117,0.3313644379377365,0.6524342288948908,0.015571192834942823,0.0006484545953341928,0.025464771652897122,0.13842366927056804,0.10554322227835655,0.758243798142665
cphys_0,0.0,outside_box,526240,0.043248333145686525,0.0064398164536454885,0.08024846698626391,0.7581874369730995,3.0527109056711197,0.48826884168963675,0.0686709348192156,0.011903015900930125,0.10910094362987942,0.7685692671549298,0.7224398255348206,0.45160927333860285,0.04818292479537445,0.0054243845278570445,0.073650421097622,0.6999312277006307,0.38889455795288086,0.5399848244927177,0.01289113982246951,0.001992048932149298,0.04463237538098659,0.5102172725228477,3.0527109056711197,0.699568639612471
cphys_0.01,0.01,inside_box,915552,0.04492924381389226,0.005289794186048553,0.07273097129867408,0.4332444837037447,0.33413922041654587,0.7400951597620462,0.06547797000981673,0.008837208574326863,0.09400642836703703,0.16411257806225021,0.3297974690794945,0.8289898324919308,0.05442775308214534,0.0064254454842824485,0.08015887651584476,0.5661767595980609,0.33413922041654587,0.6548160782882487,0.014882008349714733,0.0006067284995363481,0.024631859441307878,0.1938635054161414,0.10145660489797592,0.7334428485231941
cphys_0.01,0.01,outside_box,526240,0.041794046257364624,0.006403754354608644,0.0800234612761073,0.7595415545413562,3.048774778842926,0.48689980273353395,0.06618450529283014,0.011883689509513714,0.10901233650148828,0.7689450308240686,0.7168386429548264,0.4512424955680907,0.046849920294619464,0.0053473525386203155,0.07312559427874973,0.7041925211836675,0.3681696318089962,0.5361369372239921,0.01234771318464427,0.001980221015691903,0.04449967433242521,0.5131253884277238,3.048774778842926,0.6974886810347615
cphys_0.05,0.05,inside_box,915552,0.045056005127533445,0.005387987390480919,0.07340291132156081,0.4227239344503114,0.3402634933590889,0.7469326809680626,0.06700712554452105,0.009242071173497087,0.0961356914652258,0.1258177306097905,0.3402634933590889,0.8477666064823965,0.05396434730520894,0.0063604208304277885,0.07975224655411149,0.5705669931017529,0.3232160806655884,0.6514943271805714,0.01419654253287037,0.0005614701675178804,0.023695361730049203,0.2539964860688727,0.09551190212368965,0.7055575177134084
cphys_0.05,0.05,outside_box,526240,0.03984725566577384,0.0063073713671188475,0.07941896100503235,0.7631606976341541,3.0548201352357864,0.48322174309895727,0.062079563661384445,0.011755984033355782,0.10842501571757222,0.7714280126314985,0.7009440958499908,0.44881135699480024,0.04478447881906196,0.005159021069945094,0.07182632574443087,0.7146107340335293,0.3729034923017025,0.5266110542620585,0.012677724516875103,0.002007108998055665,0.04480077006096731,0.5065144718352923,3.0548201352357864,0.7022080607991433
cphys_0.1,0.1,inside_box,915552,0.04398937305476041,0.005088531333528953,0.0713339423663725,0.45480805080657194,0.32567206025123596,0.7258792853913049,0.06508804876930181,0.008566727469488238,0.09255661764286895,0.1896966470026683,0.3054714724421501,0.81620476693577,0.05396688158338538,0.006175553479896091,0.07858468985684229,0.5830485795144555,0.32567206025123596,0.6419565825050472,0.012913188811594043,0.0005233130512025298,0.02287603661481879,0.304694358368248,0.11299406550824642,0.6811611400135004
cphys_0.1,0.1,outside_box,526240,0.028083904126424888,0.003984809501388918,0.06312534753479714,0.850371977890871,2.9394247829914093,0.3840838520609618,0.04164000236457528,0.006514559553767182,0.08071282149551694,0.8733372025846509,0.6539672613143921,0.3341003061197727,0.03372887419306608,0.003996550037802837,0.06321827297390238,0.77891687856608,0.4490726627409458,0.46349915625462185,0.008882835821633288,0.0014433189125967344,0.03799103726665981,0.6451328768976217,2.9394247829914093,0.5954721887696311
cphys_0.5,0.5,inside_box,915552,0.040801619582221886,0.004411280845331222,0.06641747394572622,0.5273695601206269,0.32599297165870667,0.6758503305145591,0.05775698725277372,0.006847664608228767,0.08275061696584966,0.35229810776501813,0.275315098464489,0.729731160823229,0.05299590181730517,0.005974555901939744,0.0772952514837732,0.596619221549356,0.32599297165870667,0.631423189132442,0.011651969676586748,0.0004116220258251559,0.020288470268237473,0.45309386777484195,0.13063707761466503,0.6041132810606894
cphys_0.5,0.5,outside_box,526240,0.028575321058419468,0.004188478704314532,0.06471845721519118,0.8427242798045057,2.9907011836767197,0.39377706923436523,0.042194166185357145,0.0066720018560200555,0.0816823227878594,0.8702760466814355,0.6601229906082153,0.3381134315755978,0.03423605826512221,0.004246274541221535,0.06516344482316397,0.7651024956127532,0.42026083543896675,0.47776062637221234,0.009295738724779042,0.0016471597157020036,0.0405852154817737,0.595014778438909,2.9907011836767197,0.6361333839080966
cphys_1,1.0,inside_box,915552,0.038043882499197365,0.0037069398642444015,0.060884643911617006,0.6028335805237843,0.3205842077732086,0.6195494087076072,0.050545111521676185,0.005219033754431168,0.07224288030270642,0.5063458519389012,0.2535209059715271,0.6370693396311918,0.05188848142670551,0.005522303443131998,0.07431220251837513,0.6271537000753427,0.3205842077732086,0.607054728523121,0.011698054549210404,0.00037948239517003986,0.01948030788180823,0.49579654156276254,0.10703311488032341,0.5800492868590201
cphys_1,1.0,outside_box,526240,0.027912693469113386,0.0038915718947085975,0.0623824646411842,0.8538730131772261,2.9981975108385086,0.37956380845642146,0.04079013604499829,0.006141075566941374,0.07836501494251995,0.8805988641245839,0.6676177978515625,0.3243818639499636,0.033326056660080663,0.003993169172019134,0.06319152769176524,0.7791039029630075,0.4431738443672657,0.4633030671316325,0.009621887702261191,0.001540470945165285,0.03924883367904434,0.6212462209408153,2.9981975108385086,0.6151869119411013
