tag,c_physics,n_points,MAE_all,MSE_all,RMSE_all,R2_all,MaxAbsError_all,RelL2_all,MAE_U_x,MSE_U_x,RMSE_U_x,R2_U_x,MaxAbsError_U_x,RelL2_U_x,MAE_U_y,MSE_U_y,RMSE_U_y,R2_U_y,MaxAbsError_U_y,RelL2_U_y,MAE_p,MSE_p,RMSE_p,R2_p,MaxAbsError_p,RelL2_p
cphys_0,0.0,901120,0.019927142778189785,0.0019899499087281725,0.044608854600047425,0.8043232848677659,0.8334189094603062,0.44213999555454686,0.029634371753096685,0.0038636147299466435,0.06215798202923454,0.7921059140174582,0.8334189094603062,0.45595403601993606,0.025020077692240232,0.0019836248001411255,0.044537902960749345,0.8238986217249872,0.5606310069561005,0.4196443438060351,0.005126978889232437,0.0001226101960967471,0.011072948843769987,0.7958379114003922,0.6012150347232819,0.4216672409599987
cphys_0.01,0.01,901120,0.018651310683665573,0.0018556873595727687,0.043077689812393245,0.8175256546705318,0.8412449862807989,0.42696387864958646,0.02776636692034881,0.0036386593886525336,0.06032130128447606,0.8042103520461111,0.8412449862807989,0.4424812370146714,0.023635246343372825,0.0018107686373216646,0.042553127233161896,0.8392443708372544,0.5498096570372581,0.40094342049270343,0.004552318787275087,0.00011763405274410844,0.010845923323724378,0.8041238439931769,0.5991574227809906,0.4130219174769952
cphys_0.05,0.05,901120,0.01795477594569531,0.0018282440180549355,0.04275797022842567,0.8202242265777482,0.8727319967001677,0.4237949827722649,0.027669117694473513,0.003820368959094417,0.06180913329835985,0.794432890342051,0.8727319967001677,0.4533950889368738,0.020656322196117575,0.001530621807501362,0.03912316203352385,0.864115124039786,0.5320746749639511,0.36862565517833423,0.0055388879464948314,0.00013374128756902693,0.01156465682884827,0.7773031813720612,0.6088488437235355,0.4403918961852068
cphys_0.1,0.1,901120,0.016325697475324332,0.0016705805544629394,0.04087273607752409,0.8357276663963766,0.8733451319858432,0.4051095126661121,0.024951860881643285,0.003464775324650491,0.05886234216076091,0.8135667374725466,0.8733451319858432,0.4317791794650366,0.018827522055844356,0.0014160944242436844,0.037631030071520556,0.8742825861729842,0.5306006371974945,0.35456651237094355,0.005197709488485351,0.0001308719144946418,0.011439926332570582,0.782081064602716,0.6112191639840603,0.43564205357588454
cphys_0.5,0.5,901120,0.017295578720961206,0.001826206474140726,0.04273413710537193,0.8204245833296048,0.9209893420338631,0.4235587611293757,0.026934266160953554,0.00410872642973842,0.06409934812257001,0.77891689897492,0.9209893420338631,0.47019474456211885,0.01993051487385301,0.001228087170580001,0.03504407468574396,0.8909734122271447,0.5518682152032852,0.33019174115020533,0.0050219551280770505,0.0001418058221037567,0.011908224977038211,0.7638746716183134,0.6326464889571071,0.45347526134592436
cphys_1,1.0,901120,0.015954211589292683,0.0017175705307214987,0.04144358250346486,0.8311070253651192,0.8937753550708294,0.4107674484838032,0.025300047891219445,0.00373074063988418,0.06107978912769903,0.7992556272873108,0.8937753550708294,0.44804505331145705,0.017945284284579727,0.001284611313465223,0.03584147476688456,0.8859553364966976,0.557352140545845,0.33770499192216075,0.004617302592078881,0.00013735963881509263,0.011720052850354074,0.7712781510629925,0.6296107433736324,0.44630950788639145
