tag,c_physics,region,n_points,MAE_all,MSE_all,RMSE_all,R2_all,MaxAbsError_all,RelL2_all,MAE_U_x,MSE_U_x,RMSE_U_x,R2_U_x,MaxAbsError_U_x,RelL2_U_x,MAE_U_y,MSE_U_y,RMSE_U_y,R2_U_y,MaxAbsError_U_y,RelL2_U_y,MAE_p,MSE_p,RMSE_p,R2_p,MaxAbsError_p,RelL2_p
cphys_0,0.0,inside_box,360448,0.013354332233364559,0.00044615193354310327,0.021122308906535367,0.9541603547775075,0.10610511898994446,0.20734019499725237,0.02004278583307835,0.0008131082976208293,0.028515053877221228,0.9133791613735026,0.10610511898994446,0.21366602194224635,0.014611724831757407,0.00044302628290259855,0.02104818953978224,0.955938765605156,0.10451023280620575,0.19434138422523126,0.0054084860352579195,8.232122010588194e-05,0.009073104215530753,0.9134323425238569,0.038102202117443085,0.22728466341152487
cphys_0,0.0,outside_box,1081344,0.006991044689123594,0.00045625759021098366,0.021360187035955085,0.9744472184434328,2.7994382679462433,0.15981929370683134,0.00955323906803341,0.0006096365444443056,0.024690819031459966,0.9811931996871706,0.6471858392469585,0.13519731739135463,0.008798879566269022,0.00032971185360034747,0.018157969423929193,0.9813142812624045,0.38956889510154724,0.13598128172396148,0.00262101543306835,0.0004294243725882979,0.020722557095790517,0.8154439066749092,2.7994382679462433,0.4225886335212355
cphys_0.01,0.01,inside_box,360448,0.010398927542587214,0.00026427580130511353,0.016256561792246032,0.9728471221081327,0.09404771029949188,0.15957718954419228,0.014321140903876633,0.0004034984110356509,0.020087269875113712,0.9570151099790328,0.07915718853473663,0.15051583154554152,0.011761945250290924,0.00031460935733436634,0.017737230824860072,0.9687104870042927,0.09404771029949188,0.1637707596803316,0.005113696473594076,7.471963554532341e-05,0.008644052032775105,0.9214260453342378,0.03714435547590256,0.21653674532008768
cphys_0.01,0.01,outside_box,1081344,0.006177266419734175,0.0004044761130478782,0.020111591509571744,0.9773472486084398,2.8023816347122192,0.1504771631900808,0.008322823036322752,0.0004890277783262424,0.022113972468243745,0.9849138837587377,0.614262558054179,0.12108750830676857,0.007761377316970472,0.0002917779365982807,0.0170815086159941,0.9834641054072625,0.37088410556316376,0.12791988912156388,0.002447598905909305,0.00043262262421911153,0.020799582308765517,0.8140693763405086,2.8023816347122192,0.4241593846282212
cphys_0.05,0.05,inside_box,360448,0.009703125582341458,0.0002032055225561855,0.014255017451977584,0.979121755704939,0.07611299306154251,0.13992968814445167,0.013286569025319167,0.0003053834356110812,0.01747522347814417,0.9674673479871334,0.07180306315422058,0.13094351843780114,0.011172568014481379,0.00024622408820084807,0.01569152918618348,0.9755117525019176,0.07611299306154251,0.1448824611204572,0.004650239707223823,5.800904385662719e-05,0.0076163668409962495,0.9389986320338775,0.03482692316174507,0.19079284583895495
cphys_0.05,0.05,outside_box,1081344,0.006600949312108605,0.00042565460115253143,0.020631398429397155,0.9761611438907378,2.801725208759308,0.15436641634365025,0.009236227194942114,0.0005214673617862666,0.022835659871925457,0.9839131485273546,0.5506157130002975,0.1250391877082732,0.008086666292549966,0.0003106703198941344,0.017625842388213235,0.9823934197261311,0.35722093284130096,0.13199629228669155,0.002479954448833736,0.0004448261217771934,0.021090901397929712,0.8088246115390911,2.801725208759308,0.4301001638109966
cphys_0.1,0.1,inside_box,360448,0.00975202525535824,0.00021701866140258014,0.014731553258315301,0.9777025320357747,0.08543838560581207,0.14460744508127332,0.01338271594607218,0.00034200861718909994,0.01849347498954969,0.9635656488501075,0.08543838560581207,0.13857337425765973,0.011155020426120847,0.00025184357405413693,0.015869580147380616,0.9749528658333028,0.0799999088048935,0.1465264348311786,0.004718339393881698,5.720379296450363e-05,0.007563318911992514,0.9398454207880049,0.0333290658891201,0.18946397532210868
cphys_0.1,0.1,outside_box,1081344,0.006700817284264873,0.00044126498104593494,0.021006308125083164,0.975286881991343,2.8030432164669037,0.15717153236007475,0.009015315749083635,0.000540769785446119,0.023254457324266224,0.9833176841795679,0.5690576583147049,0.12733235959595593,0.00848095329064742,0.0003348076980872304,0.018297751175683594,0.9810254851036597,0.36747024953365326,0.13702807838505374,0.00260618281306356,0.0004482174596044554,0.02117114686559175,0.8073670974795779,2.8030432164669037,0.4317365845658687
cphys_0.5,0.5,inside_box,360448,0.008439714422045191,0.00016872118054887813,0.012989271748211219,0.9826648312460278,0.08433876931667328,0.12750491194232674,0.011531262994574555,0.0002578128405904926,0.016056551329301463,0.9725350675599158,0.08433876931667328,0.12031327254071646,0.010189250604851199,0.00021476306001114615,0.01465479648480818,0.9786407129967377,0.07048287987709045,0.13531013814816395,0.0035986296667098196,3.35876410449956e-05,0.005795484539276729,0.9646797824221379,0.027315322309732437,0.14517906127006314
cphys_0.5,0.5,outside_box,1081344,0.00660830606643516,0.0004314403071550352,0.020771141209741828,0.9758371144722593,2.8021888732910156,0.1554119873593778,0.009146881856666485,0.0005360844447064205,0.02315349746164541,0.9834622231979258,0.5636428445577621,0.12677954267347383,0.008067314063815527,0.0003108281143106218,0.01763031804337692,0.9823844770628551,0.3889171630144119,0.13202980954357768,0.0026107222788234693,0.00044740836244806293,0.02115202974771128,0.8077148276500948,2.8021888732910156,0.4313467351527568
