train,valid,train_data,valid_data,train_physics,valid_physics
0.8424809123255477,0.6961447549718048,0.8404106008623256,0.6951543180937495,0.001973680694209179,0.000990436878055334
0.7550868359717419,0.6145203030524464,0.7519606092657938,0.611730597992024,0.0031163619249127807,0.0027897050604224205
0.6843996895146249,0.5277030269554314,0.6791809849731006,0.5205396941801962,0.005500455317087471,0.007163332775235176
0.5940054361086005,0.4447275563664971,0.5855292119148823,0.436657609004551,0.008660590695217251,0.008069947361946106
0.5046186118359897,0.3733732412563318,0.49508908169120297,0.36209737611875475,0.009617367573082448,0.011275865137577057
0.43770413935285335,0.3280615234633329,0.423352507820791,0.30980362984141135,0.014737797901034355,0.01825789362192154
0.38640522971976227,0.30673542909765217,0.3655656385794912,0.29066274792396996,0.02053087204694748,0.016072681173682213
0.3518247459140526,0.2645207499301585,0.3319122128680273,0.2424613055920752,0.020072434190660716,0.022059444338083267
0.31072370143206995,0.2335352813844701,0.29080470831664484,0.2152179395799657,0.01987664457410574,0.018317341804504395
0.280106647718578,0.21458595135814293,0.26217955661001546,0.190738468259636,0.01800077371299267,0.023847483098506927
0.2679190436999003,0.24386023190541953,0.24609241777063426,0.22576393020077437,0.021700443141162394,0.018096301704645157
0.26528362128032645,0.1995460019145657,0.2422953977953964,0.1820987016592671,0.022710948996245862,0.017447300255298615
0.2366482870000873,0.17721093334572638,0.21786816459773156,0.15725891739445055,0.0190200699493289,0.019952015951275826
0.22078434360259278,0.19785575913245657,0.19870021253471246,0.1867323794400213,0.02143656313419342,0.011123379692435265
0.24267533595489366,0.19394090515512177,0.22205150079505295,0.1811670160381789,0.020086557231843473,0.012773889116942883
0.22366168474787987,0.1687553693042245,0.2031405451636629,0.14470934313397074,0.020319623965770008,0.024046026170253754
0.21324797015000518,0.14810194576013416,0.19018478905892414,0.1306705375932488,0.022413144912570716,0.017431408166885376
0.19616218223890475,0.14856344899339857,0.17375516203151742,0.12248819014234724,0.02229289971292019,0.02607525885105133
0.1859477282881535,0.15749957328997,0.16413102859974715,0.12422637557945594,0.021813603304326534,0.03327319771051407
0.17060698716319758,0.13505407849653578,0.14455408500208064,0.11273275742634155,0.02600786034017801,0.022321321070194244
0.15686864397045722,0.13164859116038044,0.13589001377625312,0.11760097313632925,0.02048932444304228,0.01404761802405119
0.1552806211707959,0.12708415908750786,0.1353429393896395,0.11356319466617597,0.01949714357033372,0.013520964421331882
0.15072923633955457,0.14553587046898822,0.1302151447272341,0.11498501246310691,0.02071847803890705,0.03055085800588131
0.1742648714412691,0.1440051934794064,0.1517612353698453,0.11792255482827382,0.0225623719394207,0.026082638651132584
0.1587547552464577,0.1301335203471194,0.1332615396849395,0.1081429305496226,0.02494887784123421,0.021990589797496796
0.1349206561767914,0.11179717192249117,0.11424682086393514,0.09143577823238191,0.020733299478888512,0.020361393690109253
0.12177684092531753,0.1070739374935123,0.10189736702569245,0.08876855014557566,0.020066765137016773,0.01830538734793663
0.12796887190612238,0.11548163281481942,0.1088943557589994,0.08978243643146237,0.01897008381783962,0.025699196383357048
0.13121450249918826,0.13660497717701103,0.1106073224252049,0.09997836254678871,0.021706622932106255,0.03662661463022232
0.12440467584254172,0.10343266720735876,0.10443419654886735,0.08060905220770685,0.01981151681393385,0.02282361499965191
0.11424934500970212,0.1513809258114334,0.09528502547095472,0.11606493908872564,0.019293935038149357,0.03531598672270775
0.15634984980682431,0.16589352345570577,0.1316532914332932,0.13464926599070084,0.024868004396557807,0.03124425746500492
0.14434903189413842,0.15306055700174093,0.11853365980832509,0.1187681049644065,0.025537657737731933,0.03429245203733444
0.1441916978071789,0.11298646161580816,0.1186817981264918,0.09441257583225504,0.024741577543318273,0.018573885783553123
0.11425533856685996,0.08485186630840282,0.0952233966383232,0.06258803019280414,0.019071377255022524,0.02226383611559868
0.09917402431343614,0.07715633639132498,0.07841752323931848,0.06676449009215353,0.020184123329818247,0.010391846299171448
0.09378158085539862,0.07712721992008403,0.07774251684949886,0.058486755748316806,0.01622011959552765,0.018640464171767235
0.0917955816498061,0.07326132091782184,0.07404793705633651,0.06018180246553512,0.017558718286454677,0.01307951845228672
0.10165044544311949,0.09649256075758006,0.08367299868421103,0.07379734347600009,0.018414216209203006,0.02269521728157997
0.10871231202950131,0.08498571653226213,0.09225218759474617,0.06552467707851724,0.01663097571581602,0.01946103945374489
0.0997295187512025,0.12454595092298112,0.08395939465303308,0.09659012082578264,0.016377427335828542,0.027955830097198486
0.12228854487188374,0.1320867878060008,0.10340149294704754,0.09946388422056686,0.018874401226639748,0.03262290358543396
0.1272357381035632,0.08785569128318518,0.09702201825511435,0.06608636510296553,0.029595230892300605,0.02176932618021965
0.09301582350696605,0.08205741419443116,0.07380947608078393,0.06251539438017831,0.01943972548469901,0.019542019814252853
0.08645573455065035,0.08105315457060776,0.06912765839781657,0.059051340473441696,0.017180662602186203,0.02200181409716606
0.08676070416765366,0.07069849631656552,0.06664873974779133,0.05935794523824597,0.01943676294758916,0.01134055107831955
0.07937228312800984,0.06547903189786078,0.06295930319694194,0.05059027312673928,0.016280071530491113,0.014888758771121502
0.07770723100694908,0.06034760582349391,0.060918792294316286,0.04671935211024375,0.016591924242675304,0.01362825371325016
0.07284584467483655,0.06737160169958564,0.05791357687836775,0.049001494883293834,0.015083555039018393,0.01837010681629181
0.07265212175053389,0.060654370389862995,0.056243074789971065,0.04889160422234152,0.016184614226222038,0.011762766167521477
0.07582085052672174,0.0683910291303288,0.062074193834955924,0.048203174363483085,0.013629685062915087,0.020187854766845703
0.07572189575398432,0.057312489548268834,0.05863428391932231,0.04227794060999445,0.017170067224651576,0.015034548938274384
0.07507260436233126,0.08584563364422473,0.06070372221483999,0.05940314126348647,0.015075021889060736,0.02644249238073826
0.0790790871176522,0.06300971360117133,0.06245740550347996,0.048189342778026424,0.016422689147293567,0.014820370823144913
0.06614530351258777,0.060836903120826215,0.050294936112996486,0.04240686383421275,0.01597621329128742,0.018430039286613464
0.06445986551883459,0.06423229362272183,0.050727160310281315,0.04672951448165337,0.014295609015971423,0.01750277914106846
0.06789948863123879,0.05749258092244256,0.05322491300691001,0.04825227959652532,0.014552389364689588,0.009240301325917244
0.06988063367641517,0.06734208699244904,0.05288000156482061,0.05698067445237087,0.01711432635784149,0.010361412540078163
0.10479118174506122,0.07350241320392797,0.09038035161856266,0.05352064149639319,0.014957886468619109,0.01998177170753479
0.08077146062491912,0.05998838861841102,0.062176672669282014,0.04825869557815929,0.01806885004043579,0.011729693040251732
0.08227557144340525,0.07364529682358778,0.06751330291407967,0.05481391338666952,0.014797158632427454,0.01883138343691826
0.06412245713918141,0.04932976586559106,0.04646095460164164,0.038045351186779035,0.017516191862523556,0.011284414678812027
0.06575190260779434,0.05907438431588842,0.051370373622919296,0.04499958191720678,0.01459028571844101,0.01407480239868164
0.06474309113324193,0.05477663109484611,0.048463642650777114,0.045309869371685366,0.016230405028909444,0.009466761723160744
0.06851508827681468,0.07843863628568407,0.05639396186810863,0.057649933171889746,0.012609576527029275,0.020788703113794327
0.07116814216129268,0.07148631028712868,0.05350610186454608,0.05669050495953439,0.01747093889862299,0.01479580532759428
0.0678654088687574,0.050677492801123644,0.052765653142469185,0.03576884749906638,0.014822718966752291,0.014908645302057266
0.07998101617479082,0.05739726657421972,0.06249429721719319,0.04181093322487261,0.017224862612783907,0.015586333349347115
0.06253941528587374,0.057971263849757315,0.048294849498370776,0.04241803436132491,0.014208231307566165,0.015553229488432407
0.05213887404568506,0.05476369350030231,0.04009434457256911,0.04026292650773334,0.012360412534326315,0.01450076699256897
0.06031521302592734,0.04615384802403397,0.0449858126837237,0.030902562627517647,0.015261155273765325,0.015251285396516323
0.05435015654503392,0.049131419287155725,0.039390448588001746,0.036638284810911276,0.014680007565766573,0.01249313447624445
0.054517280070864406,0.051955582501158025,0.042243042927670296,0.038238455468580033,0.01238497756421566,0.013717127032577991
0.05347885881029006,0.04762926569748,0.04092882099591334,0.03566560207474307,0.012715100310742855,0.01196366362273693
0.05432014694270346,0.06403914540533535,0.04388798285408069,0.04491255506400578,0.010702346730977298,0.019126590341329575
0.061222135907199784,0.055959527654451245,0.04703242431651618,0.03817344204882991,0.014143408741801977,0.017786085605621338
0.05733281290773208,0.05834298504882711,0.04421923346124123,0.04220337344699758,0.013437002431601286,0.01613961160182953
0.05130920071287204,0.05507749350776947,0.03913338764770785,0.04175408495625532,0.012087584473192692,0.013323408551514149
0.06344570282550431,0.057030580868948466,0.04786282729250324,0.04224574093334771,0.015598282217979431,0.014784839935600758
0.05274188731577997,0.042036861382094046,0.04028435661607184,0.03276275118407311,0.012554393243044614,0.009274110198020935
0.04479059542950035,0.04190120416403951,0.03418734992417789,0.03275868425787629,0.010700491722673178,0.009142519906163216
0.043898186197286936,0.03471014047746426,0.03332499281996499,0.024412748913810317,0.010658087953925133,0.010297391563653946
0.040530352586921295,0.0465837012460538,0.03004570470495676,0.03369622057733022,0.010854500904679298,0.012887480668723583
0.04985811178731636,0.0648405027376925,0.03987058614539818,0.047082744239500665,0.010523478686809539,0.017757758498191833
0.05864161911047049,0.044773407063858454,0.043632660918378995,0.034039480395095294,0.014678340498358011,0.01073392666876316
0.05207155331616273,0.051055870150820394,0.03942740553053956,0.034222348725096365,0.013072959892451764,0.01683352142572403
0.04570017359180095,0.044830265260019965,0.03436138889359944,0.03239692821232385,0.011754270829260349,0.012433337047696114
0.045675804268083396,0.05456984240805876,0.03515659688062676,0.036314433554766296,0.010746079497039318,0.018255408853292465
0.04450491414911251,0.035748302298607836,0.03313941992630208,0.02621203224641324,0.01141468845307827,0.009536270052194595
0.042703885263597904,0.037398390979929405,0.03265699702622322,0.026848460124297577,0.010542738577350974,0.010549930855631828
0.05897820005335178,0.05809095316816586,0.048905361884993746,0.042751321580898935,0.011111734621226787,0.015339631587266922
0.048673636309941204,0.039855071825879065,0.036024479627256266,0.0302033270876579,0.012613163329660892,0.009651744738221169
0.046033494590502703,0.052198399799476214,0.03454632911824837,0.038655377002964564,0.011765168141573667,0.01354302279651165
0.044295102093122936,0.03727307688665377,0.03337191895608571,0.02819041401368367,0.010917671117931604,0.009082662872970104
0.04375395673609224,0.03760460366831647,0.03106163535424699,0.028147212912901513,0.012794320937246084,0.009457390755414963
0.03971718472323039,0.03776529896807469,0.02944007837063871,0.030432733705160985,0.010192168690264226,0.007332565262913704
0.040427295872453105,0.03550507727592994,0.028640091290000932,0.026932977545557516,0.01165644209831953,0.008572099730372429
0.03416907594124779,0.030366594267193913,0.025080233141023495,0.02363745525211537,0.009153974987566472,0.006729139015078545
0.033636524857300794,0.03277274983566861,0.024380278400131287,0.021505396986423536,0.009551102574914695,0.011267352849245071
0.03288371052574083,0.03052746139695163,0.02384391445950203,0.020819039160807087,0.009070428973063826,0.009708422236144543
0.03209664315842533,0.031628357683629364,0.023813733777469388,0.022782834683865875,0.008338877791538834,0.008845522999763489
0.03321980788370881,0.03564652626503094,0.023415815078869286,0.02672097657907589,0.009707040432840586,0.008925549685955048
0.03716140877070968,0.04117923454001514,0.027312502063268736,0.024171617260127943,0.009912406280636787,0.0170076172798872
0.03823338281962069,0.032288400513409435,0.026019426368416466,0.020582980533419906,0.011987425480037927,0.011705419979989529
0.03527705642739831,0.03021969847837916,0.025239868525276984,0.02046192080239287,0.009813787508755922,0.00975777767598629
0.02918001005580482,0.028064216394568093,0.02040013358274289,0.02215310363158048,0.00880373027175665,0.005911112762987614
0.03064012959561675,0.03139429437646339,0.023099399236379138,0.025122180494458177,0.007666168548166752,0.006272113882005215
0.03011098476016481,0.028166651170519644,0.021308927968547834,0.020950605537561232,0.008644795883446932,0.007216045632958412
0.030108050728459446,0.06201524951792545,0.022619797758342046,0.04484479048586673,0.008070826111361385,0.017170459032058716
0.0421447732853002,0.05229252207252427,0.03113389101553891,0.039623201854259216,0.011285706609487533,0.012669320218265057
0.037588033844069176,0.028842225779107836,0.026033650812662998,0.019826941300443438,0.011398244276642799,0.009015284478664398
0.03279365338826341,0.03739269490276974,0.023132451951768496,0.03065433672552507,0.009494012454524636,0.006738358177244663
0.031409968592087834,0.03304877210246994,0.02234888894644183,0.0278997703811772,0.008795931842178107,0.005149001721292734
0.03132412238472004,0.049371290585738914,0.02344643594397708,0.03886599429581811,0.007791227148845792,0.010505296289920807
0.055935783964123215,0.057400337784663316,0.042503733112273484,0.04384735542453873,0.013196480600163341,0.013552982360124588
0.04958128616491147,0.06705147719471449,0.037552815078806555,0.049932199926066345,0.012264531292021274,0.017119277268648148
0.040903153707936735,0.04761818545155747,0.029657875655720076,0.03778117271356805,0.011382014770060778,0.009837012737989426
0.042470960554788155,0.04976492251681034,0.0297830355796465,0.034591607446240825,0.012631302699446678,0.015173315070569515
0.03359939969836556,0.024800424717059535,0.023259871124011004,0.018052003133734864,0.01010403772816062,0.006748421583324671
0.032338474472187295,0.03483225480037058,0.023028987259706465,0.02356151566224421,0.009141467185691,0.011270739138126373
0.03383254872512091,0.043557716309079154,0.024389895875252747,0.03454467818046473,0.00982261160388589,0.009013038128614426
0.028181053370287777,0.02894205245608759,0.02015229711362654,0.02047749626869631,0.008021943550556899,0.008464556187391281
0.0259807551698838,0.02922193091914026,0.018364377338722877,0.021987758954912107,0.007848911313340068,0.007234171964228153
0.026466611993393518,0.02895881227329846,0.01863199765533965,0.02166845641211148,0.0077151920646429065,0.007290355861186981
0.03161605456985798,0.033017500912097236,0.02090412958378568,0.026453833704140926,0.010544545110315084,0.006563667207956314
0.027786515375785213,0.029179914023561786,0.02026394369197275,0.024005812693221877,0.007827731361612678,0.005174101330339909
0.040435229877227453,0.05934382935328287,0.02994640403176625,0.05000636873109144,0.010385147761553526,0.00933746062219143
0.03917513149530452,0.035415025853234916,0.02951371138395392,0.0250182658961598,0.009801583364605904,0.010396759957075119
0.03613864786153921,0.03193627588695061,0.02605710617012885,0.02561457280313742,0.009886619495227933,0.0063217030838131905
0.03675212300746574,0.039582940665158356,0.026629996746022084,0.03086867268112573,0.009885402955114841,0.008714267984032631
0.03347699632222076,0.04216535064149608,0.023998012277731032,0.030480487744696045,0.009345493512228131,0.011684862896800041
0.03418043580114236,0.038733299492797316,0.02516764662245859,0.02552112252165979,0.009242511773481964,0.013212176971137524
0.02959304777574418,0.025341079355735357,0.020347226608084443,0.018770156213600214,0.009253816679120064,0.006570923142135143
0.02761661242410011,0.03149556834447585,0.020132556387464407,0.022978217342974772,0.007508749375119805,0.008517351001501083
0.03250661515039841,0.03481339538729815,0.023293410624848607,0.027303910965836325,0.009035972505807876,0.007509484421461821
0.027905898023705595,0.026088902346758334,0.01969717092206938,0.02044209613647887,0.008007172448560595,0.005646806210279465
0.02237979751931229,0.022396318628265667,0.015437104334257379,0.016667295261099148,0.006821834295988083,0.005729023367166519
0.02007425670998956,0.03541882961090599,0.014944822024774632,0.023181832125745164,0.005138173000887036,0.012236997485160828
0.03676346835700792,0.03446964875462191,0.02500996601416425,0.028227192840005327,0.01137040788307786,0.006242455914616585
0.028676161343978747,0.030824139680768546,0.02102287573812375,0.021793619696106013,0.0077367205638438465,0.009030519984662533
0.0225696345119912,0.022162734016965106,0.014861039303608756,0.016200175926278308,0.0076764571014791725,0.005962558090686798
0.020555243573692043,0.022886613826907338,0.014135598077386768,0.015643558907962502,0.006364236632362008,0.007243054918944836
0.018613437143376637,0.02672218308482815,0.012864041329690849,0.019199758401853336,0.005828169034793973,0.007522424682974815
0.021773124901599893,0.020567632123757052,0.014514282178732546,0.015123043518442559,0.007098810561001301,0.005444588605314493
0.020074089702262893,0.021292088907723952,0.013811169737436242,0.015934805740182925,0.006240847427397967,0.005357283167541027
0.019902293801988442,0.021034883762499117,0.013560815682782841,0.01636420605589988,0.006363340094685555,0.0046706777065992355
0.019306073750033598,0.021217968851430284,0.013898091951728675,0.015336101014269457,0.005627057468518615,0.005881867837160826
0.018487821375658065,0.020459682044689297,0.013293273236394534,0.013919405003194451,0.005184315890073776,0.006540277041494846
0.01844261904198254,0.018123309325867865,0.012782838937783907,0.013768220983886694,0.00554838920943439,0.0043550883419811726
0.017041521181562023,0.018562106019866517,0.011728756793171117,0.01370200475217109,0.005422808136790991,0.004860101267695427
0.017435787081743658,0.018802349609234242,0.011861184369236886,0.014730612900950818,0.0054475267883390185,0.004071736708283424
0.016494017103828754,0.018882263489225073,0.011194680009018345,0.014465179331758183,0.0052440054947510365,0.004417084157466888
0.01713308384374112,0.020152191533047478,0.011949499233825961,0.014329964196581165,0.005154128558933735,0.005822227336466312
0.015727994834307688,0.02112777314363461,0.01096223005883131,0.015521398440286927,0.00478145566303283,0.005606374703347683
0.016732512410673393,0.01819795737314741,0.011908492225485455,0.013515513337140482,0.004807812883518637,0.0046824440360069275
0.01605667098852382,0.019381508552105055,0.010611655462419775,0.01488376906570874,0.0053805601317435505,0.004497739486396313
0.016282629580969737,0.018399318750065615,0.011008871860278994,0.013947796612095883,0.005275214416906237,0.004451522137969732
0.015950976264254898,0.019360738048373266,0.01129653486825034,0.014406143860934778,0.004817043221555651,0.004954594187438488
0.01596575052289894,0.023783935436754472,0.011173966545580102,0.016560011746137387,0.004848524974659085,0.0072239236906170845
0.017213228973363054,0.022832619190712243,0.012341089494677666,0.01650947209124711,0.004949918948113918,0.006323147099465132
0.019643747394308825,0.0228007712832654,0.013210864000135871,0.017651308091636946,0.0064079805975779894,0.005149463191628456
0.016327647942980333,0.01951510079468878,0.01112192990368645,0.015032796582982857,0.005136399995535612,0.004482304211705923
0.01535800661002924,0.01831779465764509,0.010272106221938497,0.014297910265025957,0.005074725951999426,0.004019884392619133
0.015979938338275892,0.01847545483521723,0.01076304430201927,0.012300004785876508,0.005209364555776119,0.006175450049340725
0.015120682624907764,0.017336863577936876,0.010375432774121991,0.013494655741949666,0.004719451908022166,0.0038422078359872103
