time,re,x,y,U_x,U_y,p
4.0,797.9591836734694,0.6796875,0.8359375,0.170106,0.0704022,-0.0499349
8.0,357.1428571428572,0.8984375,0.3984375,-0.0651689,-0.131938,-0.00694881
8.0,632.6530612244899,0.4609375,0.3046875,-0.210401,0.0590377,-0.00736911
9.0,632.6530612244899,0.9140625,0.9765625,0.572093,-0.0485451,0.126786
9.0,136.73469387755102,0.3671875,0.4453125,-0.160283,0.134778,-0.0228721
8.0,504.08163265306126,0.7890625,0.8046875,0.102476,-0.111859,-0.0491244
4.0,283.6734693877551,0.8359375,0.0390625,-0.00289749,-0.00100329,0.00528222
5.0,651.0204081632653,0.7265625,0.4140625,-0.243788,-0.110624,-0.00455002
5.0,412.2448979591837,0.3984375,0.2578125,-0.0742365,0.0210661,0.000170693
8.0,706.1224489795919,0.9140625,0.3515625,-0.0289205,-0.0494858,-0.00226161
0.0,779.591836734694,0.1484375,0.1171875,0.0,0.0,0.0
0.0,651.0204081632653,0.6953125,0.7890625,0.0,0.0,0.0
7.0,504.08163265306126,0.1796875,0.2734375,-0.0391837,0.0475518,-0.00137751
5.0,614.2857142857143,0.6640625,0.1953125,-0.0396983,-0.0224762,0.0031179
7.0,448.9795918367347,0.5390625,0.3671875,-0.276259,0.0336479,-0.0187556
0.0,834.6938775510205,0.1953125,0.9140625,0.0,0.0,0.0
3.0,614.2857142857143,0.6484375,0.8515625,0.102965,0.0956418,-0.0404894
0.0,944.8979591836736,0.9921875,0.2578125,0.0,0.0,0.0
9.0,338.7755102040817,0.2265625,0.3515625,-0.0934515,0.11726,-0.00652852
4.0,375.5102040816327,0.1015625,0.4140625,-0.0112105,0.051569,-0.00400928
4.0,265.30612244897964,0.5078125,0.2109375,-0.0700101,-5.54082e-05,0.00259027
4.0,944.8979591836736,0.9765625,0.6015625,-0.00886006,-0.0528504,-0.00519876
10.0,375.5102040816327,0.5390625,0.6953125,0.088633,0.0629972,-0.0945951
10.0,595.9183673469388,0.4609375,0.6328125,0.0275473,0.152339,-0.083044
8.0,706.1224489795919,0.3671875,0.2734375,-0.11106,0.044624,-0.00221702
5.0,797.9591836734694,0.5703125,0.5234375,-0.226954,0.136456,-0.0293284
1.0,246.9387755102041,0.5546875,0.7734375,-0.114204,0.0272984,-0.0141774
3.0,944.8979591836736,0.1171875,0.5078125,-0.00869888,0.0390076,-0.00307485
8.0,614.2857142857143,0.7578125,0.5078125,-0.191888,-0.23229,-0.0618607
10.0,412.2448979591837,0.1171875,0.8828125,-0.0377286,0.154664,-0.0254658
0.0,577.5510204081634,0.6484375,0.8359375,0.0,0.0,0.0
