tag,c_physics,region,n_points,MAE_all,MSE_all,RMSE_all,R2_all,MaxAbsError_all,RelL2_all,MAE_U_x,MSE_U_x,RMSE_U_x,R2_U_x,MaxAbsError_U_x,RelL2_U_x,MAE_U_y,MSE_U_y,RMSE_U_y,R2_U_y,MaxAbsError_U_y,RelL2_U_y,MAE_p,MSE_p,RMSE_p,R2_p,MaxAbsError_p,RelL2_p
cphys_0,0.0,inside_box,712800,0.020860581126257043,0.0012387720954887562,0.03519619433246663,0.8649276193999246,0.2100639045238495,0.35935910555175105,0.03650074432816389,0.0028419635273638022,0.05331006966196726,0.718491568040999,0.2100639045238495,0.45292732739574865,0.018931104449696926,0.000712812488807638,0.026698548440086362,0.945984487171726,0.14391061663627625,0.2285755618183522,0.00714989460091031,0.00016154027029482873,0.012709849341940633,0.8035455136183807,0.059295978397130966,0.3551252546680571
cphys_0,0.0,outside_box,728992,0.00888498032315211,0.0007351928935671193,0.02711444068328018,0.9667564762304216,2.8275941610336304,0.18178104404656298,0.013271010887879821,0.0010772205643838442,0.03282103844158262,0.9738142469486151,0.6336424220353365,0.15517848109742916,0.009834736302683366,0.00047483219430783557,0.021790644651038565,0.9743092930690479,0.40495724976062775,0.1584649450715666,0.003549193778893143,0.0006535259220096783,0.025564153066543752,0.7878484803333339,2.8275941610336304,0.45896880486858815
cphys_0.01,0.01,inside_box,712800,0.016189910073277376,0.0007041260762313358,0.026535374054859975,0.9232239846978213,0.17314118146896362,0.27093066357573253,0.02405131795896209,0.0012951389244498267,0.035988038630214714,0.8717110461550741,0.17314118146896362,0.30575773504619735,0.01748830619619018,0.0006517016978747172,0.025528448794917353,0.9506153413773037,0.1372586525976658,0.2185579316697262,0.007030106064679859,0.00016553760636946354,0.012866141860303871,0.7986842204931195,0.05583060160279274,0.3594922159823272
cphys_0.01,0.01,outside_box,728992,0.007915042339571807,0.0006721318981220076,0.0259255067090695,0.9696079315686817,2.839279294013977,0.17381017488282183,0.011392687823485365,0.0009308142835462991,0.030509249147533918,0.977373182641025,0.5989998579025269,0.14424829825430285,0.009086130982618268,0.00042458468513982095,0.020605452801135453,0.9770279251405896,0.38288751244544983,0.14984604625504108,0.0032663082126117853,0.0006609967256799023,0.02570985658614031,0.7854232630643763,2.839279294013977,0.46158470886823594
cphys_0.05,0.05,inside_box,712800,0.014011760928551198,0.0005038998138522308,0.02244771288688963,0.9450561183216664,0.15846467018127441,0.22919495069596157,0.018779479821777998,0.0007545244661227001,0.027468608740209254,0.9252611804170724,0.15846467018127441,0.23337586356332227,0.01759205087680051,0.0006545802564822656,0.025584766101769733,0.9503972099306268,0.1171131432056427,0.21904008372689765,0.005663752087075087,0.00010259471895172637,0.01012890512107436,0.8752311557957496,0.04872087389230728,0.2830112233321641
cphys_0.05,0.05,outside_box,728992,0.0077684731914394916,0.0006309848639515087,0.02511941209406599,0.9714684941781185,2.791081517934799,0.16840594315157287,0.010626601592429358,0.0007982038937954906,0.028252502434217938,0.9805967591608892,0.5714675188064575,0.13357835775813912,0.009398139502493928,0.00044445393409434276,0.02108207613339689,0.9759529031476667,0.3437037765979767,0.1533121249955356,0.0032806784793951898,0.000650296763964693,0.02550091692399889,0.78889674906058,2.791081517934799,0.45783348789983247
cphys_0.1,0.1,inside_box,712800,0.013244931812909021,0.0004757465934613574,0.021811616021316656,0.9481258698228523,0.14454218745231628,0.22270029395843707,0.018240163410713762,0.0007373684415347484,0.027154528932293198,0.9269605567580785,0.14454218745231628,0.23070741220149865,0.016229886410501847,0.0005984405856283156,0.024463045305691513,0.9546513625427101,0.10666059702634811,0.20943664173669788,0.005264745617511457,9.143075322100819e-05,0.0095619429626519,0.8888080252017955,0.047138016670942307,0.2671697624713712
cphys_0.1,0.1,outside_box,728992,0.007647531880355168,0.0006367154205368182,0.0252332205740135,0.9712093732103786,2.792112022638321,0.16916893968717792,0.010692344568420052,0.0007939529364099999,0.028177170482679766,0.9807000940989778,0.5559990871697664,0.13322218688808557,0.009041561330920173,0.0004502523973078327,0.021219151663245932,0.9756391783816263,0.3387192636728287,0.1543089594929101,0.003208689741725279,0.0006659409278926217,0.025805831276915336,0.7838182463731604,2.792112022638321,0.4633078009263997
cphys_0.5,0.5,inside_box,712800,0.011812381025592664,0.00037884107657479424,0.019463840231947915,0.9586921869903249,0.12345108389854431,0.19872910549033207,0.016906662078101122,0.0006034312260367519,0.02456483718726326,0.9402276008818891,0.12345108389854431,0.2087051494340191,0.01377840307438386,0.0004645333503944426,0.021553035758204518,0.9647985865267807,0.11426384747028351,0.18452303758678412,0.0047520779242930114,6.855865329318825e-05,0.008280015295468256,0.9166235453540654,0.04183828458189964,0.23135148665811045
cphys_0.5,0.5,outside_box,728992,0.008911326274025697,0.0006960812781503116,0.026383352291744724,0.9685250024609551,2.771634340286255,0.17687967017512674,0.012624976260569642,0.0008922693235324087,0.02987087751527244,0.9783101577022806,0.5544188320636749,0.1412300652862528,0.010490462621818068,0.0005115565711527655,0.02261761638972519,0.9723223275387931,0.39857636392116547,0.16447881172146714,0.0036185399396893823,0.0006844179397657605,0.026161382604246292,0.7778201275292573,2.771634340286255,0.46969123038521077
